TamanhoTabela,FuncaoHash,QtdDados,TempoInsercao(ms),Colisoes,MediaComparacoesBusca,TempoBusca(ms)
1000,HashResto,10000,1.24,9000,3.80,0.02
1000,HashResto,100000,4.01,99000,39.40,0.05
1000,HashResto,1000000,31.15,999000,538.20,0.44
1000,HashMultiplicacao,10000,1.14,9000,3.20,0.01
1000,HashMultiplicacao,100000,2.45,99000,42.60,0.06
1000,HashMultiplicacao,1000000,61.33,999000,567.20,0.34
1000,HashDobramento,10000,1.39,9000,6.60,0.03
1000,HashDobramento,100000,3.01,99000,42.00,0.04
1000,HashDobramento,1000000,27.07,999000,553.40,0.51
10000,HashResto,10000,0.35,3649,1.20,0.01
10000,HashResto,100000,2.50,90000,5.00,0.01
10000,HashResto,1000000,18.68,990000,53.40,0.10
10000,HashMultiplicacao,10000,0.38,3637,1.00,0.01
10000,HashMultiplicacao,100000,1.69,90000,4.40,0.01
10000,HashMultiplicacao,1000000,65.96,990000,59.00,0.11
10000,HashDobramento,10000,0.42,7876,4.00,0.01
10000,HashDobramento,100000,2.79,97345,24.00,0.05
10000,HashDobramento,1000000,20.43,997179,319.20,0.44
100000,HashResto,10000,0.82,482,1.00,0.03
100000,HashResto,100000,51.49,36730,1.20,0.02
100000,HashResto,1000000,47.64,900002,7.40,0.02
100000,HashMultiplicacao,10000,0.77,517,1.00,0.01
100000,HashMultiplicacao,100000,6.16,36761,1.80,0.01
100000,HashMultiplicacao,1000000,117.52,900004,6.80,0.05
100000,HashDobramento,10000,0.33,7876,4.00,0.02
100000,HashDobramento,100000,2.22,97345,24.00,0.03
100000,HashDobramento,1000000,24.02,997179,319.20,0.47
